roll, pitch, yaw, x accel, y accel, z accel
1602, -6057, 2746, 1068, -16, -67
702, -6259, 2970, 1110, -34, -136
-351, -6242, 3237, 1079, 26, -75
-1217, -6337, 3329, 1011, 50, -116
-2201, -6253, 3584, 961, 21, -157
-3285, -6248, 3581, 912, 5, -103
-4441, -6347, 3595, 843, 47, -196
-5608, -6544, 3593, 755, 87, -248
-6411, -6600, 3525, 634, 143, -295
-7675, -6980, 3411, 627, 114, -198
-9105, -7391, 3253, 469, 287, -264
-9939, -7821, 2995, 283, 229, -209
-11017, -8316, 2773, 310, 221, -135
-11659, -8510, 2746, 177, 112, -51
-12720, -8684, 2796, 87, 88, -102
-13111, -8824, 2698, 1, 99, -52
-13741, -8969, 2792, -217, 124, -120
-14035, -9144, 2656, -324, 137, -118
-14421, -9307, 2725, -515, 150, -110
-14622, -9457, 2190, -675, 143, -99
-14488, -9316, 1976, -708, 69, -76
-14369, -9466, 1642, -845, 14, -50
-13960, -9205, 1433, -881, -15, 3
-13638, -9102, 973, -1004, 26, -5
-13264, -8642, 861, -969, 52, 92
-13052, -8337, 747, -899, 36, 26
-12302, -7572, 712, -791, -1194, 144
-11340, -7451, 1297, -924, 2, 100
-11117, -7057, 1749, -841, 350, -9
-10675, -6752, 1773, -1111, 254, 245
-10563, -5823, 1411, -1220, 306, 224
-10075, -4766, 1177, -1156, 323, 116
-9620, -3818, 897, -1237, 210, -55
-9084, -3138, 506, -1046, 206, 74
-8306, -2434, 478, -980, 119, 21
-7237, -2072, 35, -950, 123, -21
-6332, -1407, -63, -962, 176, -75
-5265, -875, -299, -805, 74, 126
-4530, -4, -451, -737, -23, 151
-3476, 503, -674, -669, 167, 68
-2589, 1204, -745, -691, 168, 28
-1890, 2007, -1430, -709, 128, 15
-1330, 2453, -1757, -550, 105, 15
-658, 3345, -1933, -674, 34, 5
-238, 3549, -2431, -553, 104, 15
669, 4015, -2589, -543, 19, -48
1096, 4343, -3053, -491, 1, 35
1471, 4520, -3104, -399, -20, 185
1915, 5265, -3423, -385, -43, 196
2480, 5741, -3465, -208, -12, 141
2920, 5911, -3611, -197, 62, 143
3378, 6212, -3724, -84, 12, 155
3897, 6658, -3961, -25, 74, 159
4100, 6604, -4239, 31, 104, 77
4702, 7001, -4188, 189, 127, 250
4964, 7283, -4222, 129, 217, 132
5560, 7391, -4430, 298, 301, 249
5958, 7397, -4325, 336, 377, 156
6485, 7393, -4334, 371, 339, 172
6728, 7390, -4461, 406, 333, 239
7171, 7389, -4347, 444, 361, 257
7597, 7389, -4382, 401, 334, 302
7543, 7388, -4158, 513, 212, 335
8000, 7389, -3914, 496, 265, 366
7737, 7385, -3503, 530, 220, 277
7899, 7388, -3225, 562, 210, 349
7465, 7390, -2847, 544, 111, 183
6930, 7391, -2257, 598, 90, 179
6629, 7391, -1913, 614, 41, 197
6045, 7394, -1474, 565, -23, 249
5752, 7391, -1152, 664, -51, 127
5254, 7395, -624, 657, -35, 30
4480, 7393, -363, 671, -34, 10
4037, 7396, -104, 717, -13, -34
3637, 7385, 205, 769, 5, -13
3355, 7298, 639, 849, -22, -29
3248, 7383, 713, 842, -27, -95
3395, 7204, 906, 831, -28, -108
3466, 7010, 1088, 803, -108, -107
3453, 6679, 891, 648, -10, 223
3518, 6532, 1343, 781, -140, -248
2779, 6574, 1797, 1055, -137, -233
3110, 6518, 1241, 705, -181, 53
3483, 6587, 1021, 753, -166, 61
3973, 6812, 655, 548, -152, 172
4745, 6738, 250, 946, -198, 30
4848, 6571, 203, 999, -211, -63
5003, 6259, 258, 1002, -245, -138
5013, 6025, 280, 1075, -248, -133
4722, 5588, 466, 1026, -295, -65
4453, 5556, 460, 1035, -349, 14
4128, 5449, 668, 1048, -375, -33
3818, 5275, 778, 1053, -430, -110
3367, 4971, 720, 1150, -492, -59
3045, 4986, 911, 1220, -478, -78
2608, 4997, 1379, 1325, -522, -142
2314, 4691, 1616, 1400, -560, -216
1823, 4530, 1853, 1400, -552, -206
1623, 4603, 1979, 1418, -578, -237
1322, 4190, 2435, 1406, -592, -232
878, 3884, 2555, 1457, -624, -228
640, 3884, 2551, 1490, -660, -230
346, 3727, 2808, 1521, -727, -142
25, 3455, 2969, 1466, -791, -157
-294, 3128, 3122, 1478, -791, -117
-980, 2672, 3252, 1534, -775, -211
-1244, 2523, 3379, 1580, -758, -184
-1753, 2206, 3513, 1586, -726, -134
-1871, 2076, 3661, 1573, -703, -100
-2363, 1671, 3990, 1501, -720, -94
-2762, 1514, 3988, 1481, -740, -20
-3102, 1002, 4097, 1443, -719, -24
-3217, 833, 4130, 1407, -726, 53
-3835, 642, 4108, 1370, -704, 63
-4054, 579, 4150, 1444, -700, 27
-4171, 312, 4026, 1324, -651, 91
-4422, 412, 3944, 1223, -656, 52
-4623, 283, 3719, 1229, -713, 83
-4870, 295, 3682, 1167, -708, 88
-5353, 74, 3516, 1162, -642, 183
-5313, 308, 3645, 1119, -713, 216
-5490, 447, 3554, 1079, -705, 160
-5413, 894, 3596, 1032, -829, 199
-5450, 805, 3680, 1003, -793, 114
-5438, 576, 3519, 994, -808, 100
-5352, 622, 3185, 940, -802, 79
-5114, 390, 3048, 890, -860, 85
-4862, 350, 2885, 872, -899, 85
-4583, 253, 2568, 883, -881, 109
-4331, 240, 2518, 832, -874, 73
-4020, 307, 2545, 804, -869, 29
-3567, 399, 2514, 633, -964, -12
-3084, 331, 2843, 883, -1037, 49
